hr_fact_id,date,employee_key,department_key,job_key,location_key,salary,attrition_flag
1,2025-02-27,1,32,812,900,73843,0
2,2021-05-20,2,31,805,903,71526,0
3,2022-02-12,2,15,801,900,71526,0
4,2022-08-17,2,14,803,910,71526,0
5,2023-03-03,2,37,809,908,71526,0
6,2024-02-20,2,20,807,909,71526,0
7,2024-09-26,2,37,806,908,71526,0
8,2023-04-05,3,32,814,910,57785,0
9,2024-01-16,3,36,804,901,62865,0
10,2024-10-19,3,26,805,905,62865,0
11,2025-06-11,3,28,810,908,62865,0
12,2017-07-24,4,13,801,910,45471,0
13,2018-05-15,4,40,806,908,47467,0
14,2019-03-07,4,30,811,905,47467,0
15,2019-11-17,4,26,810,910,51274,0
16,2020-05-22,4,31,806,904,51274,0
17,2021-04-11,4,30,802,910,51274,0
18,2022-03-03,4,13,811,908,51274,0
19,2023-02-14,4,21,802,902,51274,0
20,2023-11-11,4,36,810,904,51274,0
21,2024-07-01,4,36,804,906,53852,0
22,2025-01-28,4,33,804,901,53852,0
23,2024-01-19,5,10,811,909,72543,0
24,2024-09-02,5,23,810,902,72543,0
25,2025-03-17,5,29,815,902,72543,0
26,2020-11-14,6,39,800,906,83549,0
27,2021-06-16,6,11,813,901,83549,0
28,2022-01-29,6,38,815,910,83549,0
29,2023-01-14,6,18,812,900,83549,0
30,2023-11-13,6,30,806,903,83549,0
31,2024-07-24,6,39,801,907,87648,0
32,2025-05-08,6,16,805,905,87648,0
33,2024-09-06,7,21,800,900,61044,0
34,2024-07-18,8,13,815,903,82095,0
35,2025-04-30,8,36,806,900,82095,0
36,2019-08-17,9,28,802,904,58546,0
37,2020-03-05,9,37,801,904,58546,0
38,2020-09-28,9,34,807,905,58546,0
39,2021-06-05,9,28,804,909,58546,0
40,2022-04-10,9,39,807,902,58546,0
41,2023-02-01,9,11,800,905,58546,0
42,2023-09-18,9,34,806,908,58546,0
43,2024-08-21,9,14,806,906,61797,0
44,2024-10-05,10,22,815,902,41791,0
45,2023-04-20,11,28,807,905,79713,0
46,2023-11-04,11,36,812,906,79713,0
47,2024-09-26,11,15,812,903,79713,0
48,2018-06-23,12,19,806,906,66367,0
49,2019-06-06,12,29,800,900,66367,0
50,2020-02-13,12,36,805,900,66367,0
51,2020-08-26,12,31,808,904,66367,0
52,2021-06-26,12,25,813,906,66367,0
53,2022-04-15,12,37,812,901,66367,0
54,2022-12-07,12,15,809,900,66367,0
55,2023-07-13,12,23,805,902,66367,0
56,2024-04-11,12,40,815,908,66367,0
57,2024-10-26,12,29,810,901,66367,0
58,2017-12-09,13,15,803,909,77913,0
59,2018-06-20,13,34,815,905,77913,0
60,2019-05-30,13,37,807,906,77913,0
61,2019-12-25,13,40,813,904,77913,0
62,2020-10-20,13,36,812,902,77913,0
63,2021-07-04,13,15,810,909,77913,0
64,2022-01-31,13,12,800,903,77913,0
65,2022-09-12,13,30,800,908,77913,0
66,2023-04-26,13,33,801,909,77913,0
67,2023-12-02,13,39,803,907,77913,0
68,2024-08-25,13,35,814,908,85259,0
69,2025-03-19,13,11,801,900,85259,0
70,2023-08-14,14,36,810,911,43737,0
71,2024-05-05,14,39,807,911,43737,0
72,2024-12-29,14,20,815,901,43737,0
73,2018-07-03,16,24,800,909,66035,0
74,2019-03-15,16,34,811,906,66035,0
75,2019-11-29,16,31,801,900,66035,0
76,2020-11-03,16,16,811,908,66035,0
77,2021-08-26,16,10,812,905,66035,0
78,2022-07-31,16,26,810,904,66035,0
79,2023-01-28,16,29,810,907,66035,0
80,2023-10-20,16,37,811,904,66035,0
81,2024-07-19,16,27,802,900,66035,0
82,2025-04-09,16,33,813,911,66035,0
83,2024-05-14,17,17,811,904,36193,0
84,2025-03-16,17,11,810,906,36193,0
85,2021-11-30,18,40,810,900,58475,0
86,2022-07-22,18,30,802,911,58475,0
87,2023-04-14,18,22,809,905,58475,0
88,2023-11-26,18,26,809,903,58475,0
89,2024-06-04,18,40,805,903,58475,0
90,2025-01-31,18,15,806,901,58475,0
91,2021-02-16,19,23,809,908,63869,0
92,2021-09-06,19,15,815,903,63869,0
93,2022-05-13,19,10,805,908,69575,0
94,2022-12-02,19,20,804,906,69575,0
95,2023-11-20,19,36,811,909,69575,0
96,2024-08-06,19,14,809,908,72786,0
97,2025-04-26,19,25,815,903,72786,0
98,2023-04-26,20,27,802,909,63856,0
99,2024-03-01,20,35,806,908,63856,0
100,2024-10-16,20,38,802,910,63856,0
101,2022-09-14,21,17,805,909,51354,0
102,2023-05-26,21,27,815,906,51354,0
103,2024-01-12,21,27,813,910,51354,0
104,2024-12-15,21,21,815,906,51354,0
105,2017-06-21,22,35,802,904,42843,0
106,2018-05-05,22,27,809,906,42843,0
107,2018-11-22,22,35,806,910,42843,0
108,2019-09-17,22,27,813,908,42843,0
109,2020-05-26,22,35,809,910,42843,0
110,2021-04-30,22,22,810,906,42843,0
111,2021-12-25,22,25,805,906,42843,0
112,2022-11-09,22,29,805,906,42843,0
113,2023-05-19,22,12,807,902,42843,0
114,2024-03-09,22,13,801,903,42843,0
115,2024-11-07,22,31,803,906,42843,0
116,2021-11-11,23,22,809,904,63908,0
117,2022-10-15,23,26,807,909,69297,0
118,2023-09-05,23,16,804,903,69297,0
119,2024-06-21,23,33,813,902,69297,0
120,2025-02-12,23,18,803,910,69297,0
121,2021-04-02,24,24,813,903,72306,0
122,2022-03-13,24,19,809,908,77157,0
123,2022-12-17,24,28,814,904,77157,0
124,2023-07-04,24,13,814,902,77157,0
125,2024-04-18,24,21,806,904,77157,0
126,2025-02-21,24,18,806,908,77157,0
127,2025-04-10,25,15,815,910,43074,0
128,2016-10-13,26,34,806,906,49990,0
129,2017-08-23,26,13,808,901,49990,0
130,2018-06-21,26,10,805,903,49990,0
131,2019-05-23,26,12,812,902,49990,0
132,2020-03-12,26,28,809,901,49990,0
133,2020-10-19,26,27,808,903,49990,0
134,2021-10-04,26,23,808,900,51657,0
135,2022-05-12,26,22,814,908,51657,0
136,2023-04-03,26,26,812,903,51657,0
137,2024-01-27,26,36,810,904,51657,0
138,2024-10-04,26,38,801,911,51657,0
139,2025-05-04,26,25,803,910,51657,0
140,2022-07-28,27,39,815,902,75492,0
141,2023-04-28,27,30,806,902,75492,0
142,2024-03-12,27,36,810,905,75492,0
143,2024-10-11,27,20,814,908,75492,0
144,2025-06-09,27,20,815,904,75492,0
145,2022-12-30,28,19,811,903,75353,0
146,2023-08-21,28,21,807,910,75353,0
147,2024-04-29,28,27,813,906,75353,0
148,2025-04-10,28,22,803,904,75353,0
149,2022-12-26,29,38,802,900,64684,0
150,2023-08-18,29,17,807,905,64684,0
151,2024-04-28,29,19,805,905,64684,0
152,2025-02-25,29,23,812,902,64684,0
153,2022-03-06,30,23,802,906,44803,0
154,2022-11-11,30,21,808,908,48445,0
155,2023-07-11,30,35,814,907,48445,0
156,2024-03-29,30,23,806,904,48445,0
157,2024-10-02,30,23,814,906,48445,0
158,2025-06-10,30,26,814,902,49953,0
159,2025-04-06,31,36,812,902,52201,0
160,2021-01-30,32,12,813,904,40973,0
161,2021-11-01,32,14,805,903,40973,0
162,2022-09-07,32,39,803,900,40973,0
163,2023-08-17,32,28,815,911,40973,0
164,2024-07-26,32,17,802,910,40973,0
165,2025-02-22,32,14,806,906,40973,0
166,2016-10-07,33,37,807,910,55412,0
167,2017-05-22,33,37,803,902,55412,0
168,2018-02-15,33,32,811,901,59368,0
169,2019-01-19,33,13,804,910,59368,0
170,2019-09-02,33,21,801,909,59368,0
171,2020-05-31,33,25,806,905,59368,0
172,2020-12-27,33,34,806,907,59368,0
173,2021-10-02,33,24,805,900,59368,0
174,2022-04-01,33,11,815,908,59368,0
175,2023-02-16,33,12,809,905,59368,0
176,2023-11-05,33,19,814,911,59368,0
177,2024-10-01,33,36,812,908,59368,0
178,2025-05-03,33,11,810,908,59368,0
179,2019-12-15,34,14,803,900,37233,0
180,2020-11-10,34,18,810,900,37233,0
181,2021-09-12,34,24,802,905,39259,0
182,2022-03-11,34,14,812,905,39259,0
183,2022-11-26,34,35,800,901,39259,0
184,2023-09-13,34,35,808,902,41285,0
185,2024-05-03,34,21,802,910,41285,0
186,2025-03-30,34,23,800,900,41285,0
187,2021-10-13,35,33,810,908,69547,0
188,2022-06-07,35,25,801,908,69547,0
189,2023-01-31,35,25,811,900,69547,0
190,2023-12-19,35,22,808,911,69547,0
191,2024-06-27,35,28,810,903,69547,0
192,2025-03-21,35,23,801,909,69547,0
193,2021-08-25,37,20,805,901,63742,0
194,2022-03-24,37,12,815,902,63742,0
195,2023-01-15,37,20,815,909,63742,0
196,2023-07-18,37,34,806,907,63742,0
197,2024-05-24,37,30,804,911,63742,0
198,2025-05-08,37,27,800,905,63742,0
199,2017-01-27,38,12,807,902,49816,0
200,2018-01-09,38,39,812,904,49816,0
201,2018-07-14,38,35,810,904,49816,0
202,2019-06-04,38,30,800,908,49816,0
203,2020-01-23,38,29,813,911,49816,0
204,2020-12-02,38,25,804,911,49816,0
205,2021-08-18,38,34,810,910,49816,0
206,2022-07-22,38,10,808,901,49816,0
207,2023-02-16,38,20,802,911,49816,0
208,2024-01-16,38,30,815,911,49816,0
209,2024-12-27,38,13,810,904,51577,0
210,2019-03-24,39,29,804,903,70785,0
211,2019-10-24,39,30,811,906,70785,0
212,2020-07-10,39,17,815,910,70785,0
213,2021-01-20,39,17,800,906,70785,0
214,2021-12-25,39,22,803,907,70785,0
215,2022-11-23,39,24,811,907,70785,0
216,2023-11-11,39,11,812,908,75304,0
217,2024-07-19,39,35,804,907,75304,0
218,2025-05-27,39,18,810,901,75304,0
219,2024-08-10,40,12,801,902,59301,0
220,2025-05-23,40,20,813,910,59301,0
221,2025-05-30,41,24,812,907,35896,0
222,2020-07-21,42,36,814,911,76732,0
223,2021-02-19,42,38,812,903,79251,0
224,2021-12-23,42,39,814,904,79251,0
225,2022-08-27,42,12,810,903,79251,0
226,2023-07-10,42,39,808,907,79251,0
227,2024-04-05,42,18,802,905,79251,0
228,2024-10-29,42,15,802,904,79251,0
229,2025-05-07,42,29,804,905,79251,0
230,2021-07-07,43,23,803,906,80394,0
