customer_product_id,customer_key,product_key,category_key,category_name,acquisition_date,status
1,1,7,3,Solar & Storage,2025-09-09,Active
2,2,7,3,Solar & Storage,2022-02-09,Active
3,3,8,3,Solar & Storage,2023-06-19,Active
4,5,7,3,Solar & Storage,2024-10-22,Active
5,7,6,3,Solar & Storage,2024-06-20,Active
6,8,8,3,Solar & Storage,2024-08-30,Active
7,12,7,3,Solar & Storage,2022-09-03,Active
8,13,7,3,Solar & Storage,2022-05-02,Active
9,14,6,3,Solar & Storage,2025-06-03,Active
10,15,6,3,Solar & Storage,2023-09-20,Active
11,17,8,3,Solar & Storage,2024-05-01,Active
12,18,6,3,Solar & Storage,2022-10-19,Active
13,23,6,3,Solar & Storage,2025-11-12,Inactive
14,24,7,3,Solar & Storage,2024-07-06,Active
15,26,7,3,Solar & Storage,2024-02-02,Active
16,28,8,3,Solar & Storage,2025-01-02,Active
17,30,7,3,Solar & Storage,2022-08-16,Active
18,33,8,3,Solar & Storage,2023-05-10,Active
19,34,7,3,Solar & Storage,2025-09-20,Active
20,35,7,3,Solar & Storage,2022-09-28,Active
21,36,7,3,Solar & Storage,2025-06-16,Active
22,39,7,3,Solar & Storage,2022-09-05,Active
23,41,6,3,Solar & Storage,2024-05-25,Active
24,42,7,3,Solar & Storage,2023-01-30,Active
25,43,7,3,Solar & Storage,2023-09-29,Active
26,44,8,3,Solar & Storage,2023-03-14,Active
27,46,7,3,Solar & Storage,2023-03-10,Active
28,48,7,3,Solar & Storage,2023-03-11,Active
29,49,7,3,Solar & Storage,2023-01-24,Active
30,50,8,3,Solar & Storage,2023-02-26,Active
31,51,8,3,Solar & Storage,2024-10-08,Active
32,52,7,3,Solar & Storage,2023-09-01,Active
33,54,8,3,Solar & Storage,2023-07-02,Active
34,55,6,3,Solar & Storage,2023-09-09,Active
35,57,6,3,Solar & Storage,2025-06-25,Active
36,59,6,3,Solar & Storage,2022-03-22,Active
37,61,7,3,Solar & Storage,2023-08-13,Active
38,63,7,3,Solar & Storage,2022-12-26,Active
39,65,6,3,Solar & Storage,2025-07-06,Active
40,66,6,3,Solar & Storage,2022-02-09,Active
41,68,8,3,Solar & Storage,2022-08-22,Active
42,71,6,3,Solar & Storage,2023-11-08,Active
43,74,6,3,Solar & Storage,2023-07-29,Active
44,75,6,3,Solar & Storage,2023-07-19,Active
45,76,8,3,Solar & Storage,2024-10-03,Active
46,78,6,3,Solar & Storage,2025-11-05,Active
47,80,7,3,Solar & Storage,2023-06-06,Active
48,81,8,3,Solar & Storage,2024-11-14,Active
49,82,7,3,Solar & Storage,2022-04-15,Active
50,84,7,3,Solar & Storage,2022-11-14,Active
51,85,7,3,Solar & Storage,2024-10-23,Active
52,87,6,3,Solar & Storage,2025-01-09,Active
53,88,8,3,Solar & Storage,2022-11-03,Active
54,89,7,3,Solar & Storage,2023-02-19,Active
55,90,8,3,Solar & Storage,2023-07-04,Active
56,91,8,3,Solar & Storage,2025-03-04,Active
57,92,6,3,Solar & Storage,2024-05-30,Active
58,93,8,3,Solar & Storage,2022-11-24,Active
59,94,6,3,Solar & Storage,2023-11-21,Active
60,95,8,3,Solar & Storage,2023-12-05,Active
61,96,7,3,Solar & Storage,2025-02-24,Inactive
62,97,6,3,Solar & Storage,2023-03-22,Active
63,98,7,3,Solar & Storage,2024-12-24,Active
64,99,7,3,Solar & Storage,2025-07-30,Active
65,100,6,3,Solar & Storage,2022-09-04,Active
66,102,7,3,Solar & Storage,2024-01-15,Active
67,104,6,3,Solar & Storage,2025-02-16,Active
68,106,6,3,Solar & Storage,2022-04-16,Active
69,107,6,3,Solar & Storage,2025-05-20,Active
70,108,6,3,Solar & Storage,2024-08-31,Active
71,110,6,3,Solar & Storage,2024-07-24,Active
72,113,6,3,Solar & Storage,2025-01-29,Active
73,116,8,3,Solar & Storage,2025-11-14,Active
74,118,6,3,Solar & Storage,2022-06-04,Active
75,119,7,3,Solar & Storage,2025-01-05,Active
76,122,6,3,Solar & Storage,2024-01-07,Active
77,124,8,3,Solar & Storage,2023-09-15,Active
78,125,7,3,Solar & Storage,2022-06-04,Active
79,127,8,3,Solar & Storage,2023-02-13,Active
80,128,6,3,Solar & Storage,2024-11-08,Active
81,129,7,3,Solar & Storage,2024-06-13,Active
82,130,8,3,Solar & Storage,2025-05-10,Active
83,132,8,3,Solar & Storage,2023-11-05,Active
84,133,6,3,Solar & Storage,2024-06-08,Active
85,134,7,3,Solar & Storage,2024-05-26,Active
86,135,6,3,Solar & Storage,2023-02-23,Active
87,137,7,3,Solar & Storage,2025-12-17,Active
88,138,6,3,Solar & Storage,2025-05-13,Active
89,139,7,3,Solar & Storage,2022-04-17,Active
90,140,8,3,Solar & Storage,2023-03-31,Active
91,141,7,3,Solar & Storage,2025-05-31,Active
92,142,7,3,Solar & Storage,2023-08-18,Active
93,143,8,3,Solar & Storage,2024-03-16,Active
94,144,7,3,Solar & Storage,2022-09-17,Active
95,145,6,3,Solar & Storage,2023-10-31,Active
96,146,7,3,Solar & Storage,2023-08-10,Active
97,147,8,3,Solar & Storage,2022-05-12,Active
98,149,6,3,Solar & Storage,2022-01-16,Active
99,150,7,3,Solar & Storage,2025-08-25,Active
100,151,6,3,Solar & Storage,2024-03-27,Active
101,153,8,3,Solar & Storage,2023-11-21,Active
102,154,8,3,Solar & Storage,2025-12-08,Active
103,155,7,3,Solar & Storage,2022-07-29,Active
104,158,7,3,Solar & Storage,2025-03-01,Active
105,161,7,3,Solar & Storage,2025-09-29,Active
106,162,6,3,Solar & Storage,2024-01-05,Active
107,163,7,3,Solar & Storage,2023-01-24,Active
108,164,6,3,Solar & Storage,2022-04-15,Active
109,165,8,3,Solar & Storage,2023-07-07,Active
110,167,7,3,Solar & Storage,2022-08-22,Active
111,168,6,3,Solar & Storage,2023-11-03,Active
112,169,7,3,Solar & Storage,2025-10-07,Active
113,170,8,3,Solar & Storage,2023-07-20,Inactive
114,172,6,3,Solar & Storage,2025-08-30,Active
115,173,8,3,Solar & Storage,2024-06-17,Active
116,175,8,3,Solar & Storage,2024-07-07,Active
117,176,6,3,Solar & Storage,2025-01-09,Active
118,177,6,3,Solar & Storage,2025-02-19,Active
